카드명,카드회사,혜택1,혜택2,혜택3
신한카드 Mr.Life,신한카드,공과금 10%,"마트,편의점 10%",식음료 10%
삼성카드 taptap O,삼성카드,스타벅스 50%,대중교통 10%,"CGV, 롯데시네마 5,000원"
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"1,000원당 1마일",커피/주유 2마일,인천공항 라운지
KB국민 My WE:SH 카드,KB국민카드,KB Pay 10%,음식점 10%,서비스팩 3개 중 1개
현대카드 M,현대카드,국내외 가맹점 1.5%,온라인 쇼핑몰・일반음식점 5%,해외 가맹점 5%
신한카드 처음,신한카드,음식점·카페·편의점·온라인쇼핑 5%,생활·여행·패션 5%,정기결제 최대 20%
LOCA LIKIT 1.2,롯데카드,모든가맹점 1.2%,온라인 1.5%,
DA카드의정석Ⅱ,우리카드,모든가맹점 0.8%,생활업종 1.3%,국내 공항라운지 무료
JADE Classic,하나카드,바우처 최대 10만원,전세계 공항라운지 연 3회 무료,국내외 가맹점 1%
신한카드 Deep Oil,신한카드,4개정유사 10%,차량서비스 10%,편의점/커피/택시 5%
BC 바로 클리어 플러스,BC 바로카드,점심식사/배달앱 7%,온라인쇼핑 10%,휴대폰요금/스트리밍 10%
카드의정석 EVERY MILE SKYPASS,우리카드,SKYPASS 최대 2마일리지,해외이용수수료 0.3%,국내 공항라운지 동반 1인 동시 이용
현대카드ZERO Edition3(할인형),현대카드,국내외 가맹점 0.8%,,
카드의정석 TEN,우리카드,커피 10%,편의점 10%,음식점/주점 1%
LOCA 365 카드,롯데카드,"아파트관리비, 공과금 10%","교통, 통신, 배달앱 10%","스트리밍 1,500원"
올바른 FLEX 카드,NH농협카드,커피 50%,스트리밍 20%,영화 30%
현대카드 Summit,현대카드,국내외 가맹점 1.5%,공항라운지 무료,병원・약국 5%
삼성 iD SIMPLE 카드,삼성카드,국내 외 가맹점 0.7%·1%,온라인쇼핑몰 멤버십 50%,"영화 3,000원"
현대카드 MX Black Edition2,현대카드,국내외 가맹점 1%,공항라운지 무료,
신한카드 The BEST-F,신한카드,캐시백형 1%,"대한항공형 1,500원/1마일",기프트옵션 1회/연
하나 스카이패스 아멕스 플래티늄 카드,하나카드,국내 이용금액 1천원 당 1마일리지,해외 이용금액 1천원 당 2마일리지,인천공항 라운지 무료서비스
굿데이올림카드,KB국민카드,주유 60원/L,통신요금 10%,대형마트 10%
삼성 iD GLOBAL 카드,삼성카드,해외 이용 2%,공항라운지 연 2회,디지털콘텐츠 50%
Easy all 티타늄카드,KB국민카드,20개 영역 중 선택형,택시 10%,온라인쇼핑 5%
American Express Blue,삼성카드,해외 5%,교통·통신 5%,편의점·배달앱 7%
American Express® Green Card Edition2,현대카드,바우처 연간 12만원,전 세계 공항라운지 연 5회,멤버십리워즈(MR) 최대 2MR
BC 바로 에어 플러스 스카이패스,BC 바로카드,1천원당 1마일리지,1백만원당 200마일리지,
